gene1	gene2	similarity	module1	module2	PPI	gene1_Col_nlp20_180_lfc	gene2_Col_nlp20_180_lfc
AT1G02400	AT1G24145	0.402371621328582	turquoise	turquoise		2.99906308574681	2.34435050572444
AT1G02400	AT1G24150	0.41472166572332314	turquoise	turquoise		2.99906308574681	1.93149480750768
AT1G02400	AT1G28380	0.406313132508165	turquoise	turquoise		2.99906308574681	1.50484067572599
AT1G02400	AT1G42990	0.4069809611176639	turquoise	turquoise		2.99906308574681	2.35525587529478
AT1G02400	AT1G50740	0.4041150161957293	turquoise	turquoise		2.99906308574681	1.62520689734698
AT1G02400	AT1G53080	0.4160718791094901	turquoise	turquoise		2.99906308574681	1.76268718251356
AT1G02400	AT1G55450	0.4192963367392896	turquoise	turquoise		2.99906308574681	3.16783252109763
AT1G02400	AT1G56060	0.4054078293064775	turquoise	turquoise		2.99906308574681	3.02886194311564
AT1G02400	AT1G58225	0.4174232381566136	turquoise	turquoise		2.99906308574681	2.76689744713795
AT1G02400	AT1G61560	0.40745848176716665	turquoise	turquoise		2.99906308574681	4.24921541481615
AT1G02400	AT1G64610	0.4085555869779318	turquoise	turquoise		2.99906308574681	2.69230024854191
AT1G02400	AT1G71400	0.41103935016048204	turquoise	turquoise		2.99906308574681	1.50150833115387
AT1G02400	AT1G71520	0.41169237830210265	turquoise	turquoise		2.99906308574681	3.55819618999592
AT1G02400	AT1G74650	0.4079599932943603	turquoise	turquoise		2.99906308574681	2.86431108770921
AT1G02400	AT1G76700	0.4146067690303178	turquoise	turquoise		2.99906308574681	1.18698214980569
AT1G02400	AT1G79680	0.4096870034394171	turquoise	turquoise		2.99906308574681	5.35724658729315
AT1G02400	AT2G13800	0.41518759295652147	turquoise	turquoise		2.99906308574681	1.49930133234153
AT1G02400	AT2G15390	0.41740790290175805	turquoise	turquoise		2.99906308574681	3.32363803827214
AT1G02400	AT2G19130	0.41169775882155935	turquoise	turquoise		2.99906308574681	1.58629344366456
AT1G02400	AT2G23320	0.4127098442278592	turquoise	turquoise		2.99906308574681	2.50165698868664
AT1G02400	AT2G24160	0.41355783342374614	turquoise	turquoise		2.99906308574681	1.29141819666547
AT1G02400	AT2G24600	0.400174311775403	turquoise	turquoise		2.99906308574681	2.75455045247365
AT1G02400	AT2G29100	0.40886468577411567	turquoise	turquoise		2.99906308574681	2.79121051431072
AT1G02400	AT2G31865	0.42268788876582764	turquoise	turquoise		2.99906308574681	2.07752359201292
AT1G02400	AT2G33110	0.40400008138820787	turquoise	turquoise		2.99906308574681	1.42669691357216
AT1G02400	AT2G33710	0.4196470694783383	turquoise	turquoise		2.99906308574681	3.82502244049114
AT1G02400	AT2G37940	0.42903132707794156	turquoise	turquoise		2.99906308574681	2.44095775911208
AT1G02400	AT2G40180	0.41098998589144153	turquoise	turquoise		2.99906308574681	3.22666705399973
AT1G02400	AT2G40740	0.40935766760199854	turquoise	turquoise		2.99906308574681	2.98749613556736
AT1G02400	AT2G41100	0.41982038796685717	turquoise	turquoise		2.99906308574681	2.96389450681093
AT1G02400	AT2G44490	0.400627701786187	turquoise	turquoise		2.99906308574681	2.10990605316516
AT1G02400	AT3G04220	0.40440113211222894	turquoise	turquoise		2.99906308574681	2.67823872512448
AT1G02400	AT3G09830	0.4189918514481645	turquoise	turquoise		2.99906308574681	2.18466311911167
AT1G02400	AT3G10720	0.41589137406344967	turquoise	turquoise		2.99906308574681	1.05016067779282
AT1G02400	AT3G11820	0.4206129785537593	turquoise	turquoise		2.99906308574681	2.12884249111616
AT1G02400	AT3G11840	0.41206696375273066	turquoise	turquoise		2.99906308574681	3.75124435866918
AT1G02400	AT3G12910	0.42378641797095534	turquoise	turquoise		2.99906308574681	5.36066367171994
AT1G02400	AT3G13433	0.41793718750253195	turquoise	turquoise		2.99906308574681	2.47322996126615
